date,new_cases
2/27/20,1
2/28/20,2
2/29/20,1
3/1/20,0
3/2/20,1
3/3/20,10
3/4/20,21
3/5/20,22
3/6/20,36
3/7/20,21
3/8/20,29
3/9/20,64
3/10/20,26
3/11/20,32
3/12/20,42
3/13/20,31
3/14/20,18
3/15/20,17
3/16/20,34
3/17/20,35
3/18/20,58
3/19/20,66
3/20/20,84
3/21/20,71
3/22/20,59
3/23/20,99
3/24/20,105
3/25/20,154
3/26/20,132
3/27/20,176
3/28/20,147
3/29/20,149
3/30/20,172
3/31/20,209
4/1/20,205
4/2/20,216
4/3/20,245
4/4/20,129
4/5/20,172
4/6/20,131
4/7/20,243
4/8/20,271
4/9/20,240
4/10/20,148
4/11/20,200
4/12/20,182
4/13/20,200
4/14/20,179
4/15/20,215
4/16/20,221
4/17/20,221
4/18/20,180
4/19/20,192
4/20/20,211
4/21/20,163
4/22/20,288
4/23/20,291
4/24/20,227
4/25/20,138
4/26/20,110
4/27/20,213
4/28/20,240
4/29/20,248
4/30/20,215
5/1/20,141
5/2/20,81
5/3/20,127
5/4/20,149
5/5/20,169
5/6/20,206
5/7/20,266
5/8/20,222
5/9/20,115
5/10/20,78
5/11/20,210
5/12/20,234
5/13/20,236
5/14/20,148
5/15/20,184
5/16/20,64
5/17/20,59
5/18/20,150
5/19/20,177
5/20/20,174
5/21/20,120
5/22/20,144
5/23/20,78
5/24/20,59
5/25/20,160
5/26/20,197
5/27/20,206
5/28/20,278
5/29/20,210
5/30/20,73
5/31/20,67
6/1/20,160
6/2/20,153
6/3/20,234
6/4/20,207
6/5/20,227
6/6/20,177
6/7/20,47
6/8/20,243
6/9/20,239
6/10/20,263
6/11/20,207
6/12/20,186
6/13/20,165
6/14/20,75
6/15/20,116
6/16/20,214
6/17/20,361
6/18/20,380
6/19/20,371
6/20/20,198
6/21/20,92
6/22/20,219
6/23/20,217
6/24/20,284
6/25/20,228
6/26/20,225
6/27/20,248
6/28/20,191
6/29/20,239
6/30/20,170
7/1/20,172
7/2/20,169
7/3/20,176
7/4/20,96
7/5/20,108
7/6/20,53
7/7/20,46
7/8/20,123
7/9/20,85
7/10/20,73
7/11/20,73
7/12/20,28
7/13/20,31
7/14/20,88
7/15/20,64
7/16/20,86
7/17/20,78
7/18/20,30
7/19/20,18
7/20/20,23
7/21/20,78
7/22/20,69
7/23/20,56
7/24/20,60
7/25/20,21
7/26/20,21
7/27/20,9
7/28/20,78
7/29/20,46
7/30/20,49
7/31/20,43
8/1/20,64
8/2/20,6
8/3/20,22
8/4/20,92
8/5/20,59
8/6/20,67
8/7/20,49
8/8/20,51
8/9/20,24
8/10/20,37
8/11/20,102
8/12/20,81
8/13/20,55
8/14/20,81
8/15/20,55
8/16/20,5
8/17/20,35
8/18/20,71
8/19/20,73
8/20/20,65
8/21/20,59
8/22/20,49
8/23/20,1
8/24/20,30
8/25/20,48
8/26/20,47
8/27/20,35
8/28/20,39
8/29/20,26
8/30/20,14
8/31/20,20
9/1/20,31
9/2/20,38
9/3/20,59
9/4/20,53
9/5/20,42
9/6/20,11
9/7/20,11
9/8/20,39
9/9/20,44
9/10/20,50
9/11/20,65
9/12/20,78
9/13/20,18
9/14/20,23
9/15/20,52
9/16/20,94
9/17/20,135
9/18/20,124
9/19/20,95
9/20/20,14
9/21/20,67
9/22/20,141
9/23/20,181
9/24/20,159
9/25/20,185
9/26/20,155
9/27/20,35
9/28/20,81
9/29/20,261
9/30/20,221
10/1/20,228
10/2/20,235
10/3/20,182
10/4/20,44
10/5/20,70
10/6/20,297
10/7/20,270
10/8/20,309
10/9/20,292
10/10/20,192
10/11/20,72
10/12/20,90
10/13/20,293
10/14/20,319
10/15/20,282
10/16/20,341
10/17/20,271
10/18/20,63
10/19/20,128
10/20/20,399
10/21/20,543
10/22/20,368
